FIPS,State,FIPS Code,"Population Estimate, 2009",County,GROCPTH07,SUPERCPTH07,CONVSPTH07,SPECSPTH07,PCT_DIABETES_ADULTS09,PCT_DIABETES_ADULTS10,PCT_OBESE_ADULTS09,PCT_OBESE_ADULTS10,OBESE10_NUM,PCT_OBESE_CHILD08,PCT_OBESE_CHILD11,PCT_HSPA09,RECFACPTH07,NATAMEN,FFRPTH07,FSRPTH07,PC_FFRSALES02,PC_FFRSALES07,PC_FSRSALES02,PC_FSRSALES07,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC10,POVRATE10
1001,AL,1001,50756,Autauga,0.080266485,0.020066621,0.742464984,0.020066621,12.3,11.8,34.1,30.5,1548058,12.4,13.5,19.4,0.100333106,4,0.642131878,0.68226512,470,649.511367,349,484.381507,77.246156,17.582599,2.400542,0.855766,0.397647,0.040314,11.995382,26.777959,53049,11.9
1003,AL,1003,179878,Baldwin,0.133090299,0.017359604,1.093655065,0.133090299,11.4,11.8,25.5,26.6,4784754.8,10.8,13.3,19.4,0.09837109,4,0.746462981,1.064722391,470,649.511367,349,484.381507,83.504787,9.308425,4.384824,0.735193,0.628755,0.043343,16.771185,22.987408,47618,13.3
1005,AL,1005,29737,Barbour,0.201775626,0,0.437180522,0.033629271,14,14.2,37,37.3,1109190.1,20.8,18.6,19.4,0.033629271,4,0.672585418,0.36992198,470,649.511367,349,484.381507,46.753105,46.69119,5.051535,0.3897,0.218524,0.087409,14.236807,21.906982,33074,25.3
1007,AL,1007,21587,Bibb,0.325808704,0,0.372352804,0,11.8,11.1,34,34.3,740434.1,15.4,13.7,19.4,0.093088201,3,0.372352804,0.372352804,470,649.511367,349,484.381507,75.020729,21.924504,1.771765,0.096007,0.279293,0.030548,12.68165,22.696923,35472,20.9
1009,AL,1009,58345,Blount,0.105511202,0.0175852,0.263778004,0.035170401,12.6,14,32,30.4,1773688,19.9,18.5,19.4,0.052755601,4,0.474800408,0.246192804,470,649.511367,349,484.381507,88.887338,1.26304,8.0702,0.200621,0.497191,0.031402,14.722096,24.608353,42906,16.5
1011,AL,1011,10985,Bullock,0.182381908,0,0.182381908,0.091190954,15.6,17.5,39.4,42.1,462468.5,15.6,17.6,19.4,0,3,0.273572862,0.182381908,470,649.511367,349,484.381507,21.916804,69.974345,7.119296,0.183251,0.183251,0.03665,13.459776,22.264981,25969,31.1
1013,AL,1013,19964,Butler,0.148199378,0,1.037395643,0.098799585,16.6,16,40.8,38.3,764621.2,7.7,14.4,19.4,0,3,0.740996888,0.839796473,470,649.511367,349,484.381507,54.060247,43.189956,0.911825,0.830668,0.281663,0.033418,16.656323,24.137108,29500,28.1
1015,AL,1015,114081,Calhoun,0.274803205,0.00886462,0.744628041,0.044323098,14.2,13.9,33.6,33.2,3787489.2,15.1,13.1,19.4,0.070916956,4,0.886461953,0.673711084,470,649.511367,349,484.381507,73.613501,20.390143,3.283237,0.699997,0.404817,0.079277,14.328847,22.877239,37916,23.5
1017,AL,1017,34320,Chambers,0.201549048,0.028792721,0.575854424,0.028792721,16.2,15,35.2,35.4,1214928,7,11.7,19.4,0.057585442,3,0.662232588,0.460683539,470,649.511367,349,484.381507,58.141166,38.597107,1.566564,0.485167,0.166594,0.020459,16.676896,22.513517,30061,28.5
1019,AL,1019,24448,Cherokee,0.163438751,0.040859688,0.57203563,0.040859688,13.2,13.6,30.6,31.4,767667.2,14.3,15.4,19.4,0.040859688,4,0.817193757,0.57203563,470,649.511367,349,484.381507,92.07357,4.640425,1.23129,0.188541,0.469429,0.003848,17.896033,21.416753,34410,21.2
1021,AL,1021,42971,Chilton,0.165242434,0.023606062,0.472121241,0.070818186,11.9,12.5,35.3,38.3,1645789.3,14.2,17.4,19.4,0.023606062,4,0.755393985,0.424909117,470,649.511367,349,484.381507,81.101208,9.557088,7.836308,0.286415,0.307037,0.025205,13.566895,25.112847,38553,20.4
1023,AL,1023,13990,Choctaw,0.21159543,0,0.705318098,0.07053181,16.9,17.3,38.3,38.9,544211,5.6,7,19.4,0,4,0.21159543,0.493722669,470,649.511367,349,484.381507,55.559564,43.221012,0.526734,0.086586,0.12988,0,18.175915,22.663973,32003,20.7
1025,AL,1025,26042,Clarke,0.30284676,0.07571169,0.605693519,0.113567535,14.7,15.7,35.4,36,937512,18.3,15.8,19.4,0.037855845,4,0.984251969,0.605693519,470,649.511367,349,484.381507,53.9736,43.66508,1.049046,0.286455,0.371618,0.015484,16.157628,24.731932,33739,24.9
1027,AL,1027,13640,Clay,0.217833285,0,0.508277665,0.072611095,14.8,14.7,34.3,35.3,481492,14.1,12.3,19.4,0,4,0.43566657,0.43566657,470,649.511367,349,484.381507,80.28998,14.699971,2.86391,0.165088,0.394775,0,17.578237,22.566753,33035,20.6
1029,AL,1029,14759,Cleburne,0.272257011,0,0.340321263,0.068064253,12.4,13.3,29.9,31.3,461956.7,10.2,12.7,19.4,0,4,0.408385516,0.340321263,470,649.511367,349,484.381507,93.213999,3.299492,2.050494,0.15362,0.333957,0.006679,15.769436,23.717606,37566,17.8
1031,AL,1031,48635,Coffee,0.128188694,0.021364782,0.875956074,0,13.3,12.6,32.1,29.9,1454186.5,16.6,15.2,19.4,0.128188694,3,0.769132163,0.790496945,470,649.511367,349,484.381507,72.343237,16.531192,6.366621,1.25931,1.205253,0.102106,14.435012,24.193161,40779,20.1
